"";"Country (ignore this)";"VAT (ignore this)";"SKU";"Active";"VISIBILITY";"ID store";"Supplier";"Manufacturer";"Tax rules ID";"NAME (VAT + "" "" + Country + "" "" + """""" + C2 +""%"""")";"BASE PRICE"
"";"";"";"SHIPPING-HU-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"20"
"";"";"";"SHIPPING-NL-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"15"
"";"";"";"SHIPPING-GR-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"37"
"";"";"";"SHIPPING-DE-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"16"
"";"";"";"SHIPPING-FR-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"15"
"";"";"";"SHIPPING-FI-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"32"
"";"";"";"SHIPPING-EE-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"23"
"";"";"";"SHIPPING-ES-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"15"
"";"";"";"SHIPPING-SI-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"20"
"";"";"";"SHIPPING-SK-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"20"
"";"";"";"SHIPPING-DK-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"20"
"";"";"";"SHIPPING-HR-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"23"
"";"";"";"SHIPPING-BG-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"32"
"";"";"";"SHIPPING-BE-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"15"
"";"";"";"SHIPPING-AT-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"15"
"";"";"";"SHIPPING-PT-10-30";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"15"
"";"";"";"SHIPPING-PT-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"10"
"";"";"";"SHIPPING-IT-10-30";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"32"
"";"";"";"SHIPPING-IT-0-10";"1";"none";"3";"INVISIBILITY";"INVISIBILITY";"78";"";"23"
