SCORPION;price;reference;width;height;depth;weight;name
SCORPION;707.500000;EAP52TEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on (Pair)"
SCORPION;707.500000;EAP52TEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on (Pair)"
SCORPION;707.500000;EAP52TEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on (Pair)"
SCORPION;707.500000;EAP52TEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on (Pair)"
SCORPION;290.800000;EBM56SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EBM56SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EBM56SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EBM56SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;332.500000;EBM56TEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;332.500000;EBM56TEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;332.500000;EBM56TEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;332.500000;EBM56TEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EBM61CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;290.800000;EBM61CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;290.800000;EBM61CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;290.800000;EBM61CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;332.500000;EBM61CEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;332.500000;EBM61CEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;332.500000;EBM61CEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;332.500000;EBM61CEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;249.200000;EBM61SEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;249.200000;EBM61SEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;249.200000;EBM61SEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;249.200000;EBM61SEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;290.800000;EBM61SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EBM61SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EBM61SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EBM61SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EBM62SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EBM62SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EBM62SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EBM62SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EBM76SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EBM76SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EBM76SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EBM76SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;144.628000;EHA101CR;0.000000;0.000000;0.000000;0.000000;"Scorpion Catalyst Removal Pipe"
SCORPION;144.628000;EHA101CR;0.000000;0.000000;0.000000;0.000000;"Scorpion Catalyst Removal Pipe"
SCORPION;144.628000;EHA101CR;0.000000;0.000000;0.000000;0.000000;"Scorpion Catalyst Removal Pipe"
SCORPION;144.628000;EHA101CR;0.000000;0.000000;0.000000;0.000000;"Scorpion Catalyst Removal Pipe"
SCORPION;290.800000;EHA101SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Power Cone Slip-on"
SCORPION;290.800000;EHA101SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Power Cone Slip-on"
SCORPION;290.800000;EHA101SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Power Cone Slip-on"
SCORPION;290.800000;EHA101SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Power Cone Slip-on"
SCORPION;290.800000;EHA106SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EHA106SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EHA106SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EHA106SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;399.200000;EHA107CEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Full System"
SCORPION;399.200000;EHA107CEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Full System"
SCORPION;399.200000;EHA107CEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Full System"
SCORPION;399.200000;EHA107CEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Full System"
SCORPION;355.000000;EHA107SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Full System"
SCORPION;355.000000;EHA107SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Full System"
SCORPION;355.000000;EHA107SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Full System"
SCORPION;355.000000;EHA107SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Full System"
SCORPION;332.500000;EHA150CEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;332.500000;EHA150CEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;332.500000;EHA150CEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;332.500000;EHA150CEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EHA150SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EHA150SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EHA150SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EHA150SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;332.500000;EHA150TEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;332.500000;EHA150TEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;332.500000;EHA150TEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;332.500000;EHA150TEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;355.000000;EHA171SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Full System"
SCORPION;355.000000;EHA171SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Full System"
SCORPION;355.000000;EHA171SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Full System"
SCORPION;355.000000;EHA171SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Full System"
SCORPION;290.800000;EHA53CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;290.800000;EHA53CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;290.800000;EHA53CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;290.800000;EHA53CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;332.500000;EHA53CEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;332.500000;EHA53CEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;332.500000;EHA53CEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;332.500000;EHA53CEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;249.200000;EHA53SEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;249.200000;EHA53SEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;249.200000;EHA53SEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;249.200000;EHA53SEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;290.800000;EHA53SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EHA53SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EHA53SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EHA53SEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;290.800000;EHA53TEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;290.800000;EHA53TEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;290.800000;EHA53TEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;290.800000;EHA53TEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on"
SCORPION;332.500000;EHA53TEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;332.500000;EHA53TEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;332.500000;EHA53TEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;332.500000;EHA53TEO;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Oval Slip-on"
SCORPION;582.500000;EHA54CEM;0.000000;0.000000;0.000000;0.000000;"Scorpion Factory Round Slip-on (Pair)"
