Active;Name ;Price tax excluded;Tax rules ID;Wholesale price;Reference #;Supplier;Manufacturer;EAN13;Width;Height;Depth;Weight;Tags (xyz...);Meta title;Meta keywords;URL rewritten;ID store
1;Mishimoto Toyota MR2 Turbo Fan Shroud Kit, 1990-1997;214.88;78;118.184;MMFS-MR2-90;Resource Intl Automotive LT;Mishimoto;748354800197;53.34;13.97;80.01;9.94;Mishimoto,Toyota,MR2,Turbo,Fan,Shroud,Kit,,1990-1997,MMFS-MR2-90,Mishimoto;Mishimoto Toyota MR2 Turbo Fan Shroud Kit, 1990-1997;Mishimoto,Toyota,MR2,Turbo,Fan,Shroud,Kit,,1990-1997,MMFS-MR2-90,Mishimoto;Mishimoto-MMFS-MR2-90;3
1;Mishimoto Ford Mustang Fan Shroud Kit, 1979-1993;214.88;78;118.184;MMFS-MUS-79;Resource Intl Automotive LT;Mishimoto;748354799033;50.8;66.04;10.16;5.68;Mishimoto,Ford,Mustang,Fan,Shroud,Kit,,1979-1993,MMFS-MUS-79,Mishimoto;Mishimoto Ford Mustang Fan Shroud Kit, 1979-1993;Mishimoto,Ford,Mustang,Fan,Shroud,Kit,,1979-1993,MMFS-MUS-79,Mishimoto;Mishimoto-MMFS-MUS-79;3
1;Mishimoto Ford Mustang  Fan Shroud Kit, 1994-1996;198.74;78;109.307;MMFS-MUS-94;Resource Intl Automotive LT;Mishimoto;748354799026;53.34;12.7;78.74;8.89;Mishimoto,Ford,Mustang,,Fan,Shroud,Kit,,1994-1996,MMFS-MUS-94,Mishimoto;Mishimoto Ford Mustang  Fan Shroud Kit, 1994-1996;Mishimoto,Ford,Mustang,,Fan,Shroud,Kit,,1994-1996,MMFS-MUS-94,Mishimoto;Mishimoto-MMFS-MUS-94;3
1;Mishimoto Ford Mustang  Fan Shroud Kit, 1997-2004;214.88;78;118.184;MMFS-MUS-97;Resource Intl Automotive LT;Mishimoto;748354799019;54.61;15.24;85.09;11.81;Mishimoto,Ford,Mustang,,Fan,Shroud,Kit,,1997-2004,MMFS-MUS-97,Mishimoto;Mishimoto Ford Mustang  Fan Shroud Kit, 1997-2004;Mishimoto,Ford,Mustang,,Fan,Shroud,Kit,,1997-2004,MMFS-MUS-97,Mishimoto;Mishimoto-MMFS-MUS-97;3
1;Mishimoto Honda Prelude Fan Shroud Kit, 1997-2001;214.88;78;118.184;MMFS-PRE-97;Resource Intl Automotive LT;Mishimoto;748354799002;53.34;15.24;78.74;10.67;Mishimoto,Honda,Prelude,Fan,Shroud,Kit,,1997-2001,MMFS-PRE-97,Mishimoto;Mishimoto Honda Prelude Fan Shroud Kit, 1997-2001;Mishimoto,Honda,Prelude,Fan,Shroud,Kit,,1997-2001,MMFS-PRE-97,Mishimoto;Mishimoto-MMFS-PRE-97;3
1;Mishimoto Mazda Prot̩g̩ Fan Shroud Kit, 2001-2003;177.01;78;97.3555;MMFS-PRO-03;Resource Intl Automotive LT;Mishimoto;748354809091;15.24;55.88;78.74;11.18;Mishimoto,Mazda,Prot̩g̩,Fan,Shroud,Kit,,2001-2003,MMFS-PRO-03,Mishimoto;Mishimoto Mazda Prot̩g̩ Fan Shroud Kit, 2001-2003;Mishimoto,Mazda,Prot̩g̩,Fan,Shroud,Kit,,2001-2003,MMFS-PRO-03,Mishimoto;Mishimoto-MMFS-PRO-03;3
1;Mishimoto Nissan Skyline R32 Fan Shroud Kit, 1988-1994;214.88;78;118.184;MMFS-R32-RHD;Resource Intl Automotive LT;Mishimoto;748354798999;53.34;15.24;78.74;10.67;Mishimoto,Nissan,Skyline,R32,Fan,Shroud,Kit,,1988-1994,MMFS-R32-RHD,Mishimoto;Mishimoto Nissan Skyline R32 Fan Shroud Kit, 1988-1994;Mishimoto,Nissan,Skyline,R32,Fan,Shroud,Kit,,1988-1994,MMFS-R32-RHD,Mishimoto;Mishimoto-MMFS-R32-RHD;3
1;Mishimoto Nissan Skyline R33 Fan Shroud Kit, 1995-1998;214.88;78;118.184;MMFS-R33-RHD;Resource Intl Automotive LT;Mishimoto;748354798982;48.26;50.8;12.7;5.19;Mishimoto,Nissan,Skyline,R33,Fan,Shroud,Kit,,1995-1998,MMFS-R33-RHD,Mishimoto;Mishimoto Nissan Skyline R33 Fan Shroud Kit, 1995-1998;Mishimoto,Nissan,Skyline,R33,Fan,Shroud,Kit,,1995-1998,MMFS-R33-RHD,Mishimoto;Mishimoto-MMFS-R33-RHD;3
1;Mishimoto Acura RSX Fan Shroud Kit, 2002-2006;214.88;78;118.184;MMFS-RSX-02;Resource Intl Automotive LT;Mishimoto;748354800142;53.34;15.24;78.74;10.67;Mishimoto,Acura,RSX,Fan,Shroud,Kit,,2002-2006,MMFS-RSX-02,Mishimoto;Mishimoto Acura RSX Fan Shroud Kit, 2002-2006;Mishimoto,Acura,RSX,Fan,Shroud,Kit,,2002-2006,MMFS-RSX-02,Mishimoto;Mishimoto-MMFS-RSX-02;3
1;Mishimoto Mazda RX-8 Fan Shroud Kit, 2004-2008;214.88;78;118.184;MMFS-RX8-04;Resource Intl Automotive LT;Mishimoto;748354800333;12.7;48.26;71.12;7.27;Mishimoto,Mazda,RX-8,Fan,Shroud,Kit,,2004-2008,MMFS-RX8-04,Mishimoto;Mishimoto Mazda RX-8 Fan Shroud Kit, 2004-2008;Mishimoto,Mazda,RX-8,Fan,Shroud,Kit,,2004-2008,MMFS-RX8-04,Mishimoto;Mishimoto-MMFS-RX8-04;3
