Active;Name *;Price tax excluded;Tax rules ID;Wholesale price;Reference #;Supplier;Manufacturer;EAN13;Width;Height;Depth;Weight;Tags (xyz...);Meta title;Meta keywords;URL rewritten;ID store
1;Eventuri Downpipe with a high flow sports catalyst;576.35;78;288.175;SAUX076;Scorpion Redpower Ltd;Scorpion;8486470371154;;;;;Eventuri,Downpipe,with,a,high,flow,sports,catalyst,SAUX076,Scorpion;Eventuri Downpipe with a high flow sports catalyst;Eventuri,Downpipe,with,a,high,flow,sports,catalyst,SAUX076,Scorpion;Scorpion-SAUX076;3
1;Eventuri De-cat Section;267.68;78;133.84;SAUC036;Scorpion Redpower Ltd;Scorpion;8486470250206;;;;;Eventuri,De-cat,Section,SAUC036,Scorpion;Eventuri De-cat Section;Eventuri,De-cat,Section,SAUC036,Scorpion;Scorpion-SAUC036;3
1;Eventuri Sports-cat Section;593.63;78;296.815;SAUX036;Scorpion Redpower Ltd;Scorpion;8486470253580;;;;;Eventuri,Sports-cat,Section,SAUX036,Scorpion;Eventuri Sports-cat Section;Eventuri,Sports-cat,Section,SAUX036,Scorpion;Scorpion-SAUX036;3
1;Eventuri Non-resonated cat-back system ;1509.65;78;754.825;SAUS073;Scorpion Redpower Ltd;Scorpion;8486470352726;;;;;Eventuri,Non-resonated,cat-back,system,,SAUS073,Scorpion;Eventuri Non-resonated cat-back system ;Eventuri,Non-resonated,cat-back,system,,SAUS073,Scorpion;Scorpion-SAUS073;3
1;Eventuri Non-resonated cat-back system ;1747.6;78;873.8;SAUS073C;Scorpion Redpower Ltd;Scorpion;8486470352894;;;;;Eventuri,Non-resonated,cat-back,system,,SAUS073C,Scorpion;Eventuri Non-resonated cat-back system ;Eventuri,Non-resonated,cat-back,system,,SAUS073C,Scorpion;Scorpion-SAUS073C;3
1;Eventuri Resonated cat-back system ;1664.31;78;832.155;SAU073;Scorpion Redpower Ltd;Scorpion;8486470353198;;;;;Eventuri,Resonated,cat-back,system,,SAU073,Scorpion;Eventuri Resonated cat-back system ;Eventuri,Resonated,cat-back,system,,SAU073,Scorpion;Scorpion-SAU073;3
1;Eventuri Resonated cat-back system ;1902.25;78;951.125;SAU073C;Scorpion Redpower Ltd;Scorpion;8486470353266;;;;;Eventuri,Resonated,cat-back,system,,SAU073C,Scorpion;Eventuri Resonated cat-back system ;Eventuri,Resonated,cat-back,system,,SAU073C,Scorpion;Scorpion-SAU073C;3
1;Eventuri De-cat Downpipes;922.85;78;461.425;SAUC092;Scorpion Redpower Ltd;Scorpion;8486470711332;;;;;Eventuri,De-cat,Downpipes,SAUC092,Scorpion;Eventuri De-cat Downpipes;Eventuri,De-cat,Downpipes,SAUC092,Scorpion;Scorpion-SAUC092;3
1;Eventuri Front Section;680;78;340;SAUP088;Scorpion Redpower Ltd;Scorpion;8486470800982;;;;;Eventuri,Front,Section,SAUP088,Scorpion;Eventuri Front Section;Eventuri,Front,Section,SAUP088,Scorpion;Scorpion-SAUP088;3
1;Eventuri Non-resonated half system;2115.75;78;1057.875;SAUS088;Scorpion Redpower Ltd;Scorpion;8486470410990;;;;;Eventuri,Non-resonated,half,system,SAUS088,Scorpion;Eventuri Non-resonated half system;Eventuri,Non-resonated,half,system,SAUS088,Scorpion;Scorpion-SAUS088;3
