Active;Name *;Price tax excluded;Tax rules ID;Wholesale price;Reference #;Supplier;Manufacturer;Tags (xyz...);Meta title;Meta keywords;URL rewritten;ID store
1;Acexxon Matte Black;110.4;78;55.2;R01-10-1;Acexxon International Co. Ltd;Acexxon;Acexxon,Matte,Black,R01-10-1,Acexxon;Acexxon Matte Black;Acexxon,Matte,Black,R01-10-1,Acexxon;Acexxon-R01-10-1;3
1;Acexxon Gloss Black;179.4;78;89.7;R01-10-2;Acexxon International Co. Ltd;Acexxon;Acexxon,Gloss,Black,R01-10-2,Acexxon;Acexxon Gloss Black;Acexxon,Gloss,Black,R01-10-2,Acexxon;Acexxon-R01-10-2;3
1;Acexxon Matte Black;110.4;78;55.2;R01-20-1;Acexxon International Co. Ltd;Acexxon;Acexxon,Matte,Black,R01-20-1,Acexxon;Acexxon Matte Black;Acexxon,Matte,Black,R01-20-1,Acexxon;Acexxon-R01-20-1;3
1;Acexxon Gloss Black;179.4;78;89.7;R01-20-2;Acexxon International Co. Ltd;Acexxon;Acexxon,Gloss,Black,R01-20-2,Acexxon;Acexxon Gloss Black;Acexxon,Gloss,Black,R01-20-2,Acexxon;Acexxon-R01-20-2;3
1;Acexxon Matte Black;87.4;78;43.7;R02-10-1;Acexxon International Co. Ltd;Acexxon;Acexxon,Matte,Black,R02-10-1,Acexxon;Acexxon Matte Black;Acexxon,Matte,Black,R02-10-1,Acexxon;Acexxon-R02-10-1;3
1;Acexxon Gloss Black;137.08;78;68.54;R02-10-2;Acexxon International Co. Ltd;Acexxon;Acexxon,Gloss,Black,R02-10-2,Acexxon;Acexxon Gloss Black;Acexxon,Gloss,Black,R02-10-2,Acexxon;Acexxon-R02-10-2;3
1;Acexxon Matte Black;87.4;78;43.7;R02-20-1;Acexxon International Co. Ltd;Acexxon;Acexxon,Matte,Black,R02-20-1,Acexxon;Acexxon Matte Black;Acexxon,Matte,Black,R02-20-1,Acexxon;Acexxon-R02-20-1;3
1;Acexxon Gloss Black;137.08;78;68.54;R02-20-2;Acexxon International Co. Ltd;Acexxon;Acexxon,Gloss,Black,R02-20-2,Acexxon;Acexxon Gloss Black;Acexxon,Gloss,Black,R02-20-2,Acexxon;Acexxon-R02-20-2;3
1;Acexxon Matte Black;110.4;78;55.2;R07-10-1;Acexxon International Co. Ltd;Acexxon;Acexxon,Matte,Black,R07-10-1,Acexxon;Acexxon Matte Black;Acexxon,Matte,Black,R07-10-1,Acexxon;Acexxon-R07-10-1;3
1;Acexxon Gloss Black;128.754;78;64.377;R07-10-2;Acexxon International Co. Ltd;Acexxon;Acexxon,Gloss,Black,R07-10-2,Acexxon;Acexxon Gloss Black;Acexxon,Gloss,Black,R07-10-2,Acexxon;Acexxon-R07-10-2;3
1;Acexxon Gloss Black;147.154;78;73.577;R14-10-2;Acexxon International Co. Ltd;Acexxon;Acexxon,Gloss,Black,R14-10-2,Acexxon;Acexxon Gloss Black;Acexxon,Gloss,Black,R14-10-2,Acexxon;Acexxon-R14-10-2;3
