SHOP_CODIGO|SHOP_ALIAS|SHOP_NOMBRE|SHOP_DIRECCION|PUEB_CODIGO_POSTAL|PUEB_CODIGO_NOMBRE|PAIS_CODIGO|SHOP_MAPA_LATITUD|SHOP_MAPA_LONGITUD|SHOP_HORARIO_LU|SHOP_HORARIO_MA|SHOP_HORARIO_MI|SHOP_HORARIO_JU|SHOP_HORARIO_VI|SHOP_HORARIO_SA|SHOP_HORARIO_DO|DIAFESTIVO
5985|1201-39|ESTANCO CASTELLON-21|HERRERO, 50 BAJO|12005|CASTELLON|ES|39,979308|-0,041216|09:00-13:30/17:00-20:00|09:00-13:30/17:00-20:00|09:00-13:30/17:00-20:00|09:00-13:30/17:00-20:00|09:00-13:30/17:00-20:00|09:00/14:00||
6770|1201-43|ARTICULOS DE PESCA LA DORADA|AVDA. DEL PUERTO. 9 BAJO|12100|GRAU DE CASTELLO|ES|39,971649| 0,012267|10:00-14:00/17:00-20:00|10:00-14:00/17:00-20:00|10:00-14:00/17:00-20:00|10:00-14:00/17:00-20:00|10:00-14:00/17:00-20:00|10:00-14:00/-||
6751|1201-44|MOVIL CASTALIA|POL.IND. ESTADIO CASTALIA C/261 NAVE 43|12004|CASTELLON|ES|39,998097|-0,040165|10:00-19:30/-|10:00-19:30/-|10:00-19:30/-|10:00-19:30/-|10:00-19:30/-|10:00-18:00/-||
6804|1201-45|AVI FOTOESTUDIO|SANTO TOMAS 49|12560|BENICASSIM/BENICASIM|ES|40,054928| 0,063260|10:00-13:30/17:00-20:00|10:00-13:30/17:00-20:00|10:00-13:30/17:00-20:00|10:00-13:30/17:00-20:00|10:00-13:30/17:00-20:00|10:00-13:30/-||06/12/2024,25/12/2024
6814|1201-46|INNOVATUHOGAR|MARIA ZAMBRANO 3|12594|OROPESA DEL MAR|ES|40,120851| 0,152587|09:00-14:00/-|09:00-14:00/-|09:00-14:00/-|09:00-14:00/-|09:00-14:00/-|09:00-14:00/-||
7095|1201-47|CONEXION CASTELLON|PLAZA CLAVE 24 BAJO|12001|CASTELLON|ES|39,989035|-0,037932|08:00-15:00/-|08:00-15:00/-|08:00-15:00/-|08:00-15:00/-|08:00-15:00/-|||06/12/2024,25/12/2024
7141|1201-48|ESTANCO N 24 SAMUEL|AVDA DEL MAR 14 |12003|CASTELLON|ES|39,984794|-0,030509|09:00-14:00/-|09:00-14:00/-|09:00-14:00/-|09:00-14:00/-|09:00-14:00/-|09:00-14:00/-|00:00-00:00/00:00-00:00|06/12/2024,25/12/2024
7177|1201-49|ARLEQUIN|VIÑALS 2 BAJO 2|12110|ALCORA|ES|40,073158|-0,214385|09:00-13:30/17:00-20:00|09:00-13:30/17:00-20:00|09:00-13:30/17:00-20:00|09:00-13:30/17:00-20:00|09:00-13:30/17:00-20:00|10:00-13:30/-||
7205|1201-50|PRENSA REVISTAS Y TIENDA AHORRO OROPESA|AV. DEL FAR. 38. LOCAL 4|12594|OROPESA DEL MAR|ES|40,087168| 0,140817|08:00-15:00/-|08:00-17:00/-|08:00-17:00/-|08:00-17:00/-|08:00-17:00/-|08:00-15:00/-|08:00-15:00/-|
7430|1201-51|ADHESIUS CASTELLO SL|DE ALCORA,182|12006|CASTELLON|ES|39,988471|-0,066545|07:30-16:00/-|07:30-16:00/-|07:30-16:00/-|07:30-16:00/-|07:30-16:00/-|||
7509|1201-54|CARAMELETS|CAMINO DE ONDA.38|12530|BURRIANA|ES|39,892015|-0,088239|09:00-13:00/17:00-20:00|09:00-13:00/17:00-20:00|09:00-13:00/17:00-20:00|09:00-13:00/17:00-20:00|09:00-13:00/17:00-20:00|00:00-13:00/17:00-20:00|09:00-12:00/-|
7769|1201-55|LUDOTECA ARCO IRIS|SAN VICENTE 107|12190|BORRIOL|ES|40,042266|-0,068797|07:30-18:00/-|07:30-18:00/-|07:30-18:00/-|07:30-18:00/-|07:30-18:00/-|07:30-14:00/-||06/12/2024,25/12/2024
7637|1201-56|SECOND LIFE|COLOM 7|12540|VILLARREAL DE LOS INFANTE|ES|39,938196|-0,100216|10:00-14:00/-|10:00-14:00/-|10:00-14:00/-|10:00-14:00/-|10:00-14:00/-|10:00-14:00/00:00-00:00|00:00-00:00/00:00-00:00|
2398|1220-00|1220-00 AGENCIA 1220 VALL D´UIXO|POLÍGONO LA VERNICHA, CALLE C, Nº 7|12600|VALL D'UIXO, LA|ES|39,810943|-0,228957|08:00-14:00/16:00-19:30|08:00-14:00/16:00-19:30|08:00-14:00/16:00-19:30|08:00-14:00/16:00-19:30|08:00-14:00/16:00-19:30|||
4864|1220-02|ESTANC ALFARA|ALTA, 5, BAIXOS|46594|ALFARA DE LA BARONIA|ES|39,762576|-0,355869|09:30-14:00/17:15-20:00|09:30-14:00/17:15-20:00|09:30-14:00/17:15-20:00|09:30-14:00/17:15-20:00|09:30-14:00/17:15-20:00|09:30-14:00/17:15-20:00||
6024|1220-04|ESTANCO Nº 8 PUERTO DE SAGUNTO|PALLETER, 15|46520|PUERTO DE SAGUNTO|ES|39,662925|-0,225866|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/-||
6027|1220-05|ESTANCO BALADRE|C/ AZORÍN 6 BJ|46520|PUERTO DE SAGUNTO|ES|39,671238|-0,239732|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/-|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|10:00-14:00/-||
7653|1220-07|LA BUENA IMPRESIÓN|ALICANTE 9|12400|SEGORBE|ES|39,849668|-0,487740|10:00-13:30/17:00-19:30|10:00-13:30/17:00-19:30|10:00-13:30/17:00-19:30|10:00-13:30/17:00-19:30|10:00-13:30/17:00-19:30|||06/12/2024,25/12/2024,26/12/2024
2502|1221-00|1221-00 AGENCIA 1221 BENICARLÓ|ALICANTE, 5|12580|BENICARLO|ES|40,422042| 0,429549|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|||
3527|1221-03|KIOSCO RAMONA|POU NOU, 21|12340|JANA, LA|ES|40,511349| 0,251496|10:00-13:00/17:00-20:00|10:00-13:00/17:00-20:00|10:00-13:00/17:00-02:00|10:00-13:00/17:00-20:00|10:00-13:00/17:00-20:00|10:00-13:00/17:00-20:00|-/17:00-20:00|
3659|1221-05|ESTANCO LORETO|AV. VALENCIA, 84|12579|ALCOCEBER|ES|40,246527| 0,278565|09:00-13:30/17:00-20:00|09:00-13:30/17:00-20:00|09:00-13:30/17:00-20:00|09:00-13:30/17:00-20:00|09:00-13:30/17:00-20:00|09:00-13:30/17:00-20:00||
3651|1221-07|ESTANCO Nº 3 BENICARLO|CRISTO DEL MAR, 149|12580|BENICARLO|ES|40,415707| 0,430614|07:30-14:00/16:30-20:30|07:30-14:00/16:30-20:30|07:30-14:00/16:30-20:30|07:30-14:00/16:30-20:30|07:30-14:00/16:30-20:30|07:30-14:00/16:30-20:30|08:30-13:30/-|
3432|1221-08|ESTANCO 7 VINAROS|PILAR, 51|12500|VINAROS|ES|40,470462| 0,471794|09:00-13:30/16:30-20:00|09:00-13:30/16:30-20:00|09:00-13:30/16:30-20:00|09:00-13:30/16:30-20:00|09:00-13:30/16:30-20:00|09:00-13:30/17:00-20:00||
4714|1221-12|ESTANCO Nº 2|ALEMANYS, 4, BAJOS|12580|BENICARLO|ES|40,418176| 0,424567|09:00-13:30/17:00-21:00|09:00-13:30/17:00-21:00|09:00-13:30/17:00-21:00|09:00-13:30/17:00-21:00|09:00-13:30/17:00-21:00|09:00-13:30/17:00-20:30||
4889|1221-13|ESTANCO UNICO SANT JORDI|SAN JAIME 13 BAJO|12320|SAN JORGE|ES|40,509024| 0,331908|09:00-13:30/17:00-20:00|09:00-13:30/17:00-20:00|09:00-13:30/17:00-20:00|09:00-13:30/17:00-20:00|09:00-13:30/17:00-20:00|09:00-13:30/-||
5737|1221-17|GOMINOLA PAPER O TISORA|SAN FRANCISCO, 129|12500|VINAROS|ES|40,46704| 0,470189||10:00-13:30/17:00-20:30|10:00-13:30/17:00-20:30|10:00-13:30/17:00-20:30|10:00-13:30/17:00-20:30|10:00-13:30/17:00-20:30|10:00-13:30/17:00-20:30|25/12/2024,30/12/2024,31/12/2024,01/01/2025
6055|1221-18|IMPRENTA FERRER|VIRGEN DEL PILAR, 9|12300|MORELLA|ES|40,619729|-0,099232|09:00-14:00|09:00-14:00/16:00-20:00|09:00-14:00/16:00-20:00|09:00-14:00/16:00-20:00|09:00-14:00/16:00-20:00|09:00-14:00/16:00-20:00|09:00-14:00|
7456|1221-25|ESTANCO-005|AV.LEOPOLDO QUEROL.65|12500|VINAROS|ES|40,476875| 0,475691|07:30-22:00/-|07:30-22:00/-|07:30-22:00/-|07:30-22:00/-|07:30-22:00/-|09:00-22:00/-|09:00-14:00/-|
7588|1221-26|FLOR D.ATZAR |PZ.SANT MIQUEL 1|43530|ALCANAR|ES|40,544012| 0,480927|10:00-13:00/17:00-20:00|10:00-13:00/17:00-20:00|10:00-13:00/17:00-20:00|10:00-13:00/17:00-20:00|10:00-13:00/17:00-20:00|10:00-13:00/-||
7860|1221-27|KIOSCO DE TOT UN POC CALIG|DE LA RAVAL 59|12589|CALIG|ES|40,462652| 0,355065|08:00-14:00/17:00-19:00|08:00-14:00/17:00-19:00|08:00-14:00/17:00-19:00|08:00-14:00/17:00-19:00|08:00-14:00/-|08:00-14:00/-|08:00-14:00/-|25/12/2024
286|1301-00|1301-00 AGENCIA 1301 CIUDAD REAL|AV. TABLAS DE DAMIEL, 7, LOCAL 2|13005|CIUDAD REAL|ES|38,978048|-3,924404|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|||
3224|1301-08|ESTANCO Nº 5 SAN PEDRO DAIMIEL|SAN PEDRO, 5|13250|DAIMIEL|ES|39,067043|-3,612050|09:30-14:00/17:00-20:00|09:30-14:00/17:00-20:00|09:30-14:00/17:00-20:00|09:30-14:00/17:00-20:00|09:30-14:00/17:00-20:00|10:00-14:00/-||
3324|1301-09|ESTANCO Nº 3 CIUDAD REAL|TOLEDO, 38|13003|CIUDAD REAL|ES|38,990772|-3,928006|10:00-14:00/17:00-20:00|10:00-14:00/17:00-20:00|10:00-14:00/17:00-20:00|10:00-14:00/17:00-20:00|10:00-14:00/17:00-20:00|10:00-14:00/-||
4565|1301-16|ESTANCO Nº 17 CIUDAD REAL|RDA. ALARCOS, 24|13002|CIUDAD REAL|ES|38,98441|-3,934095|09:30-14:00/17:30-20:30|09:30-14:00/17:30-20:30|09:30-14:00/17:30-20:30|09:30-14:00/17:30-20:30|09:30-14:00/17:30-20:30|10:00-14:00/-||
4827|1301-19|ELECTRODOMESTICOS TIEN21 GARRIDO|AV. FUNDADORES DE LA COOPERATIVA, 25|13420|MALAGON|ES|39,169343|-3,848730|09:30-14:00/16:00-20:00|09:30-14:00/16:00-20:00|09:30-14:00/16:00-20:00|09:30-14:00/16:00-20:00|09:30-14:00/16:00-20:00|10:00-13:00/-||
4969|1301-20|ESTANCO Nº 1 HORCAJO DE LOS MONTES|NTRA. SRA. DE GUADALUPE, 3|13110|HORCAJO DE LOS MONTES|ES|39,326483|-4,650577|08:30-15:00/-|08:30-15:00/-|08:30-15:00/-|08:30-15:00/-|08:30-15:00/-|09:00-13:00/-||
6879|1301-24|ZBITT BOLAÑOS|CRISTO 28|13260|BOLAÑOS DE CALATRAVA|ES|38,907472|-3,666705|10:00-14:00/17:00-21:00|10:00-14:00/17:00-21:00|10:00-14:00/17:00-21:00|10:00-14:00/17:00-21:00|10:00-14:00/17:00-21:00|10:00-13:30/-||
7632|1301-27|PAPELERIA VIC IMPRENTA|ARENAS 37|13250|DAIMIEL|ES|39,071331|-3,609980|08:30-14:00/17:00-20:30|08:30-14:00/17:00-20:30|08:30-14:00/17:00-20:30|08:30-14:00/17:00-20:30|08:30-14:00/17:00-20:30|09:00-13:00/-||
7638|1301-28|POLATEC|JAZMIN 1|13270|ALMAGRO|ES|38,888288|-3,705609|10:00-14:00/17:00-20:30|10:00-14:00/17:00-20:30|10:00-14:00/17:00-20:30|10:00-14:00/17:00-20:30|10:00-14:00/17:00-20:30|10:00-13:00/-||06/12/2024,25/12/2024
7687|1301-29|DULCINEA CARAMELOS |MONESCILLO 11|13250|DAIMIEL|ES|39,068445|-3,611873|10:00-14:00/17:30-21:30|10:00-14:00/17:30-21:30|10:00-14:00/17:30-21:30|10:00-14:00/17:30-21:30|10:00-14:00/17:30-22:30|10:00-14:00/17:30-22:30|11:00-14:00/17:30-21:30|
7894|1301-31|LANAS|CABALLEROS 8 LOCAL 1|13002|CIUDAD REAL|ES|38,986835|-3,929262|10:00-14:00/17:00-20:00|10:00-14:00/17:00-20:00|10:00-14:00/17:00-20:00|10:00-14:00/17:00-20:00|10:00-14:00/17:00-20:00|||
412|1310-00|1310-00 AGENCIA 1310|VALLE ALCUDÍA, ESQ. RIUDERA|13700|TOMELLOSO|ES|39,161232|-3,034061|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|||
2363|1310-05|ESTACION MARIADEL|AVDA. DE LA PAZ, S/N|13670|VILLARRUBIA DE LOS OJOS|ES|39,221968|-3,612511|06:30-15:30/15:30-22:00|06:30-15:30/15:30-22:00|06:30-15:30/15:30-22:00|06:30-15:30/-|06:30-15:30/15:30-22:00|06:30-15:30/15:30-22:00|06:30-15:30/15:30-22:00|25/12/2024
3740|1310-07|ESTANCO ARENALES DE SAN GREGORIO|FRANCISCO OLMEDO, 5|13619|ARENALES DE SAN GREGORIO|ES|39,309757|-3,025719|09:00-14:00/16:30-19:30|09:00-14:00/16:30-19:30|09:00-14:00/16:30-19:30|09:00-14:00/16:30-19:30|09:00-14:00/16:30-19:30|09:00-14:00/-||
4029|1310-08|ESTANCO Nº 3 CAMPO DE CRIPTANA|TRAV. FERNÁNDEZ CALZUELAS|13610|CAMPO DE CRIPTANA|ES|39,404568|-3,126200|09:00-14:00/17:00-21:00|09:00-14:00/17:00-21:00|09:00-14:00/17:00-21:00|09:00-14:00/17:00-21:00|09:00-14:00/17:00-21:00|09:00-14:00/17:00-21:00|09:00-14:00/-|
5795|1310-11|COPIPLUS VILLARRUBIA|BURGOS, 18|13670|VILLARRUBIA DE LOS OJOS|ES|39,217175|-3,612153|09:30-21:00/-|09:30-21:00/-|09:30-21:00/-|09:30-21:00/-|09:30-21:00/-|10:00-14:00/-|10:00-13:30/-|
7724|1310-16|MODA Y COMPLEMENTOS MARY|ANTONIO CASTILLO 25|13600|ALCAZAR DE SAN JUAN|ES|39,392778|-3,214436|10:00-14:00/18:00-21:00|10:00-14:00/18:00-21:00|10:00-14:00/18:00-21:00|10:00-14:00/18:00-21:00|10:00-14:00/18:00-21:00|10:00-14:00/-||
287|1330-00|1330-00 AGENCIA 1330 VALDEPEÑAS|C/ CAPITAN FILLO,19 ESQ. C/SOR CANDIDA |13300|VALDEPEÑAS|ES|38,761802|-3,388788|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|||
3214|1330-06|ESTANCO LA SOLANA 007|PUNTA BRAVA, 10|13240|SOLANA, LA|ES|38,939448|-3,234239|09:00-14:00/17:00-21:00|09:00-14:00/17:00-21:00|09:00-14:00/17:00-21:00|09:00-14:00/17:00-21:00|09:00-14:00/17:00-21:00|09:00-14:00/-|09:00-14:00/-|
3513|1330-07|ESTANCO VALDEPEÑAS-002|VIRGEN, 59|13300|VALDEPEÑAS|ES|38,757535|-3,385634|09:00-14:00/17:30-20:30|09:00-14:00/17:30-20:30|09:00-14:00/17:30-20:30|09:00-14:00/17:30-20:30|09:00-14:00/17:30-20:30|09:00-14:00/-||
3402|1330-08|ESTANCO 6 VALDEPEÑAS|SEIS DE JUNIO, 154|13300|VALDEPEÑAS|ES|38,756958|-3,388411|09:00-14:00/17:00-20:15|09:00-14:00/17:00-20:15|09:00-14:00/17:00-20:15|09:00-14:00/17:00-20:15|09:00-14:00/17:00-20:15|09:30-14:00||
3569|1330-09|ESTANCO 1|AV GREGORIO PRIETO, 20|13300|VALDEPEÑAS|ES|38,766278|-3,387280|09:30-14:00/16:30-20:30|09:30-14:00/16:30-20:30|09:30-14:00/16:30-20:30|09:30-14:00/16:30-20:30|09:30-14:00/16:30-20:30|09:30-14:00/-||
3741|1330-10|ESTANCO VALDEPEÑAS 003|PZA DE ESPAÑA, 5|13300|VALDEPEÑAS|ES|38,759581|-3,384997|09:00-14:00/17:00-20:30|09:00-14:00/17:00-20:30|09:00-14:00/17:00-20:30|09:00-14:00/17:00-20:30|09:00-14:00/17:00-20:30|09:00-14:00/-||
5574|1330-11|ESTANCO Nº1|CERVANTES, 11|13730|SANTA CRUZ DE MUDELA|ES|38,642484|-3,468189|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:30-14:00||
5661|1330-12|EL VESTIDOR DE CARLA|MONJAS, 15|13240|SOLANA, LA|ES|38,941804|-3,240345|10:00-14:00/17:00-20:00|10:00-14:00/17:00-20:00|10:00-14:00/17:00-20:00|10:00-14:00/17:00-20:00|10:00-14:00/17:00-20:00|10:00-14:00/-||
409|1331-00|1331-00 AGENCIA 1331|VALLE DE ALCUDÍA, S/N, ESQ. RIUDERA|13700|TOMELLOSO|ES|39,161228|-3,034125|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|||
1910|1331-04|BEEP TOMELLOSO|CALVARIO, 34|13700|TOMELLOSO|ES|39,154154|-3,023789|10:30-14:00/18:00-21:00|10:30-14:00/18:00-21:00|10:30-14:00/18:00-21:00|10:30-14:00/18:00-21:00|10:30-14:00/18:00-21:00|||
3213|1331-05|ESTANCO REX|OCTAVIO CUARTERO, 19|02600|VILLARROBLEDO|ES|39,26701|-2,605631|09:00-14:00/17:00-21:00|09:00-14:00/17:00-21:00|09:00-14:00/17:00-21:00|09:00-14:00/17:00-21:00|09:00-14:00/17:00-21:00|09:00-14:00/-||
3227|1331-06|ESTANCO 4|D. VICTOR PEÑASCO, 68|13700|TOMELLOSO|ES|39,154512|-3,023379|09:00-14:00/17:30-20:30|09:00-14:00/17:30-20:30|09:00-14:00/17:30-20:30|09:00-14:00/17:30-20:30|09:00-14:00/17:30-20:30|09:00-14:00/-||
4034|1331-08|ESTANCO BALLESTEROS|DOS DE MAYO, 117|02600|VILLARROBLEDO|ES|39,271292|-2,603094|09:00-14:00/17:00-20:30|09:00-14:00/17:00-20:30|09:00-14:00/17:00-20:30|09:00-14:00/17:00-20:30|09:00-14:00/17:00-20:30|09:00-13:00/-||
5549|1331-11|ESTANCO 004 SOCUELLAMOS|PLAZA CONSTITUCIÓN, 16|13630|SOCUELLAMOS|ES|39,286202|-2,793443|09:30-14:00/17:30-21:00|09:30-14:00/17:30-21:00|09:30-14:00/17:30-21:00|09:30-14:00/17:30-21:00|09:30-14:00/17:30-21:00|09:30-14:00/17:30-21:00||
6763|1331-13|PLANETA ANIMAL|AV. DON ANTONIO HUERTAS 55|13700|TOMELLOSO|ES|39,14912|-3,021118|10:00-14:00/17:50-20:30|10:00-14:00/17:50-20:30|10:00-14:00/17:50-20:30|10:00-14:00/17:50-20:30|10:00-14:00/17:50-20:30|10:00-14:00/-||
7250|1331-15|RELAX TIME|AV.REYES CATOLICOS 58|02600|VILLARROBLEDO|ES|39,265532|-2,597218|09:30-13:00/-|09:30-13:00/-|09:30-13:00/-|09:30-13:00/-|09:30-13:00/-|10:00-13:30/-||06/12/2024,25/12/2024
7738|1331-16|PAPELERÍA ALCOLEA|AMOS OLIVARES 21|13620|PEDRO MUÑOZ|ES|39,404833|-2,946202|09:00-13:55/17:00-20:30|09:00-13:55/17:00-20:30|09:00-13:55/17:00-20:30|09:00-13:55/17:00-20:30|09:00-13:55/17:00-20:30|09:00-13:55/-|09:30-13:55/-|25/12/2024
288|1332-00|1332-00 AGENCIA 1332 PUERTOLLANO|ENCINA, 36, ESQ. C/ ANCHA|13500|PUERTOLLANO|ES|38,689853|-4,110980|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|08:00-14:15/15:45-20:00|||
3946|1332-02|ESTANCO Nº 1|PL. DE ESPAÑA, 6|13370|CALZADA DE CALATRAVA|ES|38,704586|-3,776284|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/-||
5728|1332-05|ESTANCO AGUDO|JUAN XXIII, 3|13410|AGUDO|ES|38,982424|-4,871699|09:00-14:00/17:00-21:00|09:00-14:00/17:00-21:00|09:00-14:00/17:00-21:00|09:00-14:00/17:00-21:00|09:00-14:00/17:00-21:00|09:00-14:00/17:00-21:00||
7602|1332-08|COLORES SHOPPING|GOYA 15|13500|PUERTOLLANO|ES|38,685312|-4,104765|10:00-14:00/18:00-20:00|10:00-14:00/18:00-20:00|10:00-14:00/18:00-20:00|10:00-14:00/18:00-20:00|10:00-14:00/18:00-20:00|11:00-14:00/-||
289|1403-00|1403-00 AGENCIA 1403 CORDOBA|POL. EL GRANADAL, C/ PLATINO, LOCAL 17- 18|14014|CORDOBA|ES|37,889299|-4,748737|08:00-14:00/16:00-20:00|08:00-14:00/16:00-20:00|08:00-14:00/16:00-20:00|08:00-14:00/16:00-20:00|08:00-14:00/16:00-20:00|||
1488|1403-01|LOCUTORIO AVENIDA BARCELONA|AV.BARCELONA 9 LOCAL|14010|CORDOBA|ES|37,888961|-4,764061|06:30-14:00/17:00-20:00|06:30-14:00/17:00-20:00|06:30-14:00/17:00-20:00|06:30-14:00/17:00-20:00|06:30-14:00/17:00-20:00|07:00-14:00/-|07:00-14:00/-|
4031|1403-10|ESTANCO Nº 89|AV. BARCELONA, 10|14010|CORDOBA|ES|37,889185|-4,764646|08:30-14:00/17:00-20:30|08:30-14:00/17:00-20:30|08:30-14:00/17:00-20:30|08:30-14:00/17:00-20:30|08:30-14:00/17:00-20:30|09:00-14:00/-||
3952|1403-11|ESTANCO Nº 93|DR. JOSÉ ALTOLAGUIRRE, 19 PONIENTE SUR|14004|CORDOBA|ES|37,872184|-4,792883|08:30-14:30/17:00-20:30|08:30-14:30/17:00-20:30|08:30-14:30/17:00-20:30|08:30-14:30/17:00-20:30|08:30-14:30/17:00-20:30|09:00-14:00/-||
3742|1403-12|ESTANCO Nº 1 BUJALANCE|POETA GARCÍA LORCA, 12|14650|BUJALANCE|ES|37,895335|-4,380994|09:00-13:30/17:00-20:30|09:00-13:30/17:00-20:30|09:00-13:30/17:00-20:30|09:00-13:30/17:00-20:30|09:00-13:30/17:00-20:30|09:00-13:30/-||
3325|1403-13|ESTANCO Nº 51 CÓRDOBA|AGUSTIN DE LA OLIVA, 6|14012|CORDOBA|ES|37,909461|-4,780742|08:00-13:20/17:00-19:50|08:00-13:20/17:00-19:50|08:00-13:20/17:00-19:50|08:00-13:20/17:00-19:50|08:00-13:20/17:00-19:50|09:00-13:20/-||
4092|1403-14|ESTANCO CÓRDOBA|ARCOS DE LA FRONTERA, 12|14014|CORDOBA|ES|37,898585|-4,756608|07:30-21:00/-|07:30-21:00/-|07:30-21:00/-|07:30-21:00/-|07:30-21:00/-|09:00-14:00/-|09:00-14:00/-|
3572|1403-16|ESTANCO SUSANA|AV PRIMERO DE MAYO, S/N|14820|SANTA CRUZ|ES|37,732683|-4,636079|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/-||
3587|1403-17|ESTANCO Nº 14 CÓRDOBA|DE COLÓN, 36|14001|CORDOBA|ES|37,889137|-4,776980|09:00-14:00/17:00-20:30|09:00-14:00/17:00-20:30|09:00-14:00/17:00-20:30|09:00-14:00/17:00-20:30|09:00-14:00/17:00-20:30|09:30-14:00/-|10:00-14:00/-|
3570|1403-18|ESTANCO Nº 21 CÓRDOBA|PL. CORREDERA, 35|14002|CORDOBA|ES|37,88329|-4,774771|09:00-14:00/17:00-20:30|09:00-14:00/17:00-20:30|09:00-14:00/17:00-20:30|09:00-14:00/17:00-20:30|09:00-14:00/17:00-20:30|09:00-14:00/-|10:00-14:00/-|
3573|1403-19|ESTANCO Nº 74 CÓRDOBA|SAGUNTO, 15|14007|CORDOBA|ES|37,892571|-4,765393|09:00-13:45/17:30-20:00|09:00-13:45/17:30-20:00|09:00-13:45/17:30-20:00|09:00-13:45/17:30-20:00|09:00-13:45/17:30-20:00|10:00/13:00||06/12/2024,25/12/2024
4169|1403-23|LIBROTEKA|NUEVA, 2|14640|VILLA DEL RIO|ES|37,98033|-4,291330|08:30-14:15/17:00-21:00|08:30-14:15/17:00-21:00|08:30-14:15/17:00-21:00|08:30-14:15/17:00-21:00|08:30-14:15/17:00-21:00|10:00-14:00/-||
4319|1403-24|ESTANCO Nº 15 CÓRDOBA|ZAPATERÍA VIEJA, 14, ESQ. CARDENAL GÓNZALEZ|14003|CORDOBA|ES|37,879629|-4,776968|09:30-14:30/16:30-20:00|09:30-14:30/16:30-20:00|09:30-14:30/16:30-20:00|09:30-14:30/16:30-20:00|09:30-14:30/16:30-20:00|10:00-14:30/-||
4724|1403-27|ESTANCO Nº 80|AV. DE LA VIÑUELA, 31|14010|CORDOBA|ES|37,888726|-4,762677|08:00-14:00/17:00-20:30|08:00-14:00/17:00-20:30|08:00-14:00/17:00-20:30|08:00-14:00/17:00-20:30|08:00-14:00/17:00-20:30|08:00-14:00/17:00-20:30|08:00-14:00/-|
4803|1403-28|ESTANCO Nº 75 CÓRDOBA|ESCRITOR AZORIN, 7|14004|CORDOBA|ES|37,876462|-4,788522|09:00-14:00/-|09:00-14:00/-|09:00-14:00/-|09:00-14:00/-|09:00-14:00/-|09:00-14:00/-||
5169|1403-30|PAPELERÍA ROMERO|MARÍA AUXILIADORA, 21|14002|CORDOBA|ES|37,889431|-4,767278|09:00-14:00/19:00-21:00|09:00-14:00/19:00-21:00|09:00-14:00/-|09:00-14:00/19:00-21:00|09:00-14:00/-|09:00-14:00/-||
5088|1403-31|ESTANCO PAQUI|MIÑO, 21|14710|VILLARRUBIA|ES|37,849236|-4,914066|08:30-14:00/16:30-18:30|08:30-14:00/16:30-18:30|08:30-14:00/16:30-18:30|08:30-14:00/16:30-18:30|08:30-14:00/16:30-18:30|08:30-14:00/-||
5701|1403-35|LIBRERÍA ROMERO|ASTURIAS, 2, LOCAL 3|14009|CORDOBA|ES|37,871937|-4,777498|09:30-13:30|09:30-13:30|09:30-13:30|09:30-13:30|09:30-13:30|09:30-13:30||
5796|1403-37|LIBRERÍA PAPELERIA LOS ARCOS|AV. CARLOS III, 63|14014|CORDOBA|ES|37,896552|-4,753466|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-14:00/17:00-20:00|09:00-13:30||
